mineralization,SO4,Cl,HCO3,Na,Ca,Mg,K,Ba,Fe,CO2,pH,Eh,t
4015.9,28.3,1003.9,175.4,720.8,126.6,24.45,18.35,1.358,0.86,371.9,8.38,260.0,11.6
2743.6,53.59,620.7,234.8,579.8,84.87,27.31,0.05,0.843,0.478,526.0,7.9,304.5,13.1
4396.7,89.12,804.5,454.9,758.2,17.97,32.81,19.48,3.795,0.938,599.8,6.88,150.2,9.9
7434.0,201.38,1097.7,1453.4,1498.1,248.28,78.92,18.83,2.277,0.635,1120.8,6.1,375.3,13.3
2590.2,0.05,556.7,368.5,275.6,141.57,34.42,11.44,1.032,0.185,323.8,7.93,259.3,10.1
2590.3,74.83,517.2,172.5,603.0,37.6,56.2,11.8,3.206,3.546,292.0,5.97,341.8,12.6
7688.9,0.05,1728.1,1072.1,1692.1,468.79,95.58,47.79,1.258,3.836,927.5,6.13,337.6,13.5
4724.2,49.85,1000.4,274.5,807.7,235.06,10.94,26.96,1.329,0.496,613.3,6.6,303.4,12.2
2249.2,28.51,522.9,367.3,583.8,56.94,54.25,12.8,0.649,0.134,171.2,8.14,281.3,9.5
4127.9,121.77,632.6,417.6,1140.4,153.43,34.28,24.3,0.643,2.685,621.3,5.9,273.8,9.6
2257.4,45.91,555.0,262.4,278.9,162.45,32.8,8.09,6.341,0.475,372.2,5.87,243.7,15.2
2254.2,0.05,428.0,390.1,392.8,123.24,41.87,6.91,3.088,1.0,252.8,6.98,298.3,10.5
3446.7,18.01,978.1,236.1,599.2,138.47,57.2,16.36,0.12,0.133,341.5,6.33,270.6,13.5
945.8,21.73,137.7,60.6,154.7,33.34,22.47,4.22,0.494,0.513,85.4,7.21,201.3,12.2
1059.0,19.92,282.5,102.4,285.7,43.98,19.94,2.52,0.38,3.149,201.6,6.85,311.0,10.0
2127.3,24.07,404.0,343.6,443.3,63.32,17.25,8.1,1.479,3.263,,6.8,278.1,10.9
1623.4,20.76,239.3,96.1,331.4,0.5,52.65,4.76,0.928,0.464,237.2,5.84,371.0,15.4
3599.5,109.58,560.8,24.2,359.1,291.0,59.59,4.65,4.389,0.819,404.6,5.92,69.0,19.0
1728.8,21.15,283.5,176.3,446.2,74.52,23.89,9.65,1.018,0.288,190.6,7.96,253.6,11.4
1277.4,23.86,257.0,181.5,186.1,61.27,29.01,3.97,5.872,0.154,114.2,8.16,177.5,11.2
7182.4,377.43,1480.6,1206.7,1606.0,278.98,122.07,50.98,1.294,9.7,583.1,6.2,,8.7
